C;1;SISTEMAZIONE AREE A VERDE;;;;;;;
;;;;;;;;;
;;;;;;;;;
C;1.01;OPERE DI BONIFICA VEGETAZIONALE;;;;;;;
;;;;;;;;;
C;1.01.01;Decespugliamento di vegetazione arbustivo-erbacea di tipo infestante, eseguito a regola d’arte con idonei mezzi meccanici, senza l’asportazione degli apparati radicali, compresa l’asportazione del materiale di risulta e trasporto in discarica o altro luogo indicato;mq;€ 1,06;;;;;
;;;;;;;;;
C;1.01.02;Decespugliamento come sopra, senza rimozione dei materiali di risulta ;mq;€ 0,62;;;;;
;;;;;;;;;
C;1.01.03;Decespugliamento di vegetazione arbustivo-erbacea di tipo infestante, eseguito a regola d’arte con idonei mezzi meccanici, con l’asportazione degli apparati radicali, compresa l’asportazione del materiale di risulta e trasporto in discarica o altro luogo indicato ;mq;€ 1,90;;;;;
;;;;;;;;;
C;1.01.04;Decespugliamento come sopra, senza rimozione dei materiali di risulta;mq;€ 1,42;;;;;
;; ;;;;;;;
C;1.01.05;Decespugliamento selettivo di area boscata e non, invasa da vegetazione arbustivo-erbacea infestante (rovi, canne, ortica, ecc.),in aree di qualsiasi natura e pendenza e con copertura terreno superiore al 50%, con salvaguardia delle presenze naturali e della eventuale rinnovazione arborea ed arbustiva naturale, con raccolta e trasporto in discarica o altro luogo indicato dalla D.L. dei materiali di risulta ;mq;€ 1,44;;;;;
;;;;;;;;;
C;1.01.06;Decespugliamento come sopra, senza rimozione dei materiali di risulta;mq;€ 1,12;;;;;
;;;;;;;;;
C;1.01.07;Eliminazione selettiva di vegetazione infestante arborea (tipo Robinia p. e Ailanthus spp.),con diametri inferiori ai 0,15 cm., arbustiva ed erbacea, mediante l’impiego di attrezzature meccaniche minori e di mezzi pesanti (braccio escavatore), comprensiva dell’eliminazione dell’apparato radicale, compresa l’asportazione del materiale di risulta e trasporto in discarica o altro luogo indicato dalla D.L..;mq;€ 3,20;;;;;
;;;;;;;;;
C;1.01.08;Eliminazione selettiva di vegetazione infestante arborea (tipo Robinia p. e Ailanthus spp.),con diametri inferiori ai 0,15 cm., arbustiva ed erbacea, mediante l’impiego di attrezzature meccaniche minori e di mezzi pesanti (braccio escavatore),  compresa l’asportazione del materiale di risulta e trasporto in discarica o altro luogo indicato dalla D.L., senza eliminazione dell'apparato radicale;mq;€ 2,67;;;;;
;;;;;;;;;
;;;;;;;;;
C;1.02;LAVORAZIONI DEL TERRENO;;;;;;;
;;;;;;;;;
C;1.02.01;Terreno di coltivo privo di infestanti, residui vegetali e litoidi, con contenuto minimo in sostanza organica del 2%, compresa fornitura, trasporto, messa in opera, stesa, modellazione, compattatura:;;;;;;;
C;1.02.1.a.;a mano;mc;€ 54,96;;;;;
C;1.02.1.b.;con mezzi meccanici;mc;€ 43,04;;;;;
;;;;;;;;;
C;1.02.02;Terreno di coltivo privo di infestanti, residui vegetali e litoidi, con contenuto minimo in sostanza organica del 2%, compresa stesa, modellazione, compattatura, esclusa  fornitura:;;;;;;;
C;1.02.2.a.;a mano;mc;€ 15,96;;;;;
C;1.02.2.b.;con mezzi meccanici;mc;€ 4,04;;;;;
;;;;;;;;;
C;1.02.03;Formazione di piano quotato, con spianamento generale dell’area in modo di portarla alle quote di progetto, mediante scavo e riporto entro un’altezza media di 10-15, con mezzi meccanici, con rispetto delle piante e manufatti esistenti, compresi tracciamento, picchettamento e ogni altro onere.;mq;€ 1,09;;;;;
;;;;;;;;;
C;1.02.04;Scasso integrale con Ripper fino alla profondità cm. 0,40 per superficie inferiore ai 4.000 mq ;mq;€ 0,23;;;;;
;;;;;;;;;
C;1.02.05;Scasso integrale con Ripper fino alla profondità cm. 0,60 per superficie inferiore ai 4.000 mq;mq;€ 0,30;;;;;
;;;;;;;;;
C;1.02.06;Scasso integrale con Ripper fino alla profondità cm. 0,40 per superficie superiore ai 4.000 mq ;mq;€ 0,12;;;;;
;;;;;;;;;
C;1.02.07;Scasso integrale con Ripper fino alla profondità cm. 0,60 per superficie superiore ai 4.000 mq;mq;€ 0,14;;;;;
;;;;;;;;;
C;1.02.08;Scasso del terreno a fosse o a buche, eseguito con mezzi idonei, comprese le opere di eliminazione di pietre, rizomi o tuberi di infestanti.;mq;€ 0,83;;;;;
;;;;;;;;;
C;1.02.09;Interramento meccanico di inerti, eseguito con macchina semovente ad interrare il materiale oltre i 0,10 cm. per superfici inferiori ai 1000 mq;mq;€ 0,09;;;;;
;;;;;;;;;
C;1.02.10;Interramento meccanico di inerti, eseguito con macchina semovente ad interrare il materiale oltre i 0,10 cm. per superfici superiori ai 1000 mq;mq;€ 0,06;;;;;
;;;;;;;;;
C;1.02.11;Vangatura meccanica del terreno, effettuata in maniera uniforme con rivoltamento delle zolle, alla profondità di cm. 0,25;mq;€ 0,50;;;;;
;;;;;;;;;
C;1.02.12;Vangatura manuale alla profondità di cm. 0,20 con eliminazione dei residui vegetali e non, comprensivo della raccolta, carico, trasporto e smaltimento a discarica.;mq;€ 3,98;;;;;
;;;;;;;;;
C;1.02.13;Fresatura del terreno eseguita meccanicamente fino alla profondità di 0,15 cm. con motocoltivatore in due passaggi incrociati, fino a portare il terreno regolarmente lavorato e sminuzzato.;mq;€ 0,45;;;;;
;;;;;;;;;
C;1.02.14;Fresatura del terreno eseguita meccanicamente fino alla profondità di 0,15 cm., con attrezzo portato da trattrice, in due passaggi incrociati,  fino a portare il terreno regolarmente lavorato e sminuzzato.;mq;€ 0,22;;;;;
;;;;;;;;;
C;1.02.15;Erpicatura meccanica del terreno, eseguita con erpici a denti, a telaio rigido o snodato, a rompere le zolle, interrare semi e concimi ;mq;€ 0,06;;;;;
;;;;;;;;;
C;1.02.16;Rastrellatura manuale del terreno a rifinire la superficie lavorata con raccolta, carico, trasporto e smaltimento a discarica dei residui grossolani vegetali e non.;mq;€ 0,27;;;;;
;;;;;;;;;
C;1.02.17;Drenaggio profondo mediante scavo in sezione ristretta (circa 0,20 cm.) a profondità di cm. 0,60-0,80, fornitura e messa in opera di tubo dreno con diametro da mm. 60, posato su sabbia, compresi raccordi al collettore, reinterro con ghiaia fino a cm. 0,40 dal piano finito e quindi copertura finale con terreno privo di sassi o altri  trovanti, fino al piano originale  e costipato previa idonea bagnatura;m;€ 24,82;;;;;
;;;;;;;;;
C;1.03;OPERE DI IRRIGAZIONE;;;;;;;
;;;;;;;;;
;;La realizzazione degli impianti di irrigazione si intende comprensiva dei lavori di scavo per alloggiamento delle tubazioni e di ogni altro componente o struttura necessari, realizzazione di riserve d’acqua, pozzetti, locali pompe, quadri comandi, allacciamenti di acqua ed energia elettrica, posa in opera dell’impianto consistente nelle tubazioni, raccordi, elettrovalvole, regolatori di pressione, irrigatori a scomparsa, statici e/o dinamici (ad impatto o a turbina con interno in bronzo) in materiale plastico antiurto con altezze di sollevamento variabili, cavi elettrici, pozzetti, programmatore ed ogni altro elemento necessario al completamento dell’opera perfettamente funzionante, a regola d’arte a distribuire l’acqua al terreno in modo regolare, con sovrapposizione delle gittate anche in funzione degli irrigatori utilizzati.;;;;;;;
;;;;;;;;;
C;1.03.01;Perforazione con trivella pneumatica in qualsiasi materiale, compreso rivestimento finale con tubo in materiale plastico atossico;m;€ 301,33;;;;;
;;;;;;;;;
C;1.03.02;Primo rivestimento con tubi in acciaio dm 400 dello spessore di 3 mm;m;€ 420,08;;;;;
;;;;;;;;;
C;1.03.03;Drenaggio con breccia calibrata al metro lineare;m;€ 8,86;;;;;
;;;;;;;;;
C;1.03.04;Cementazione fuori colonna e realizzazione di una camera di ispezione fuori terra con sportellone in ferro metri 100x 100;cad;€ 3 722,21;;;;;
;;;;;;;;;
C;1.03.05;Fornitura in opera di pompa sommersa da cavalli 15 con alimentazione 380 V, compresi i pezzi speciali e la tubazione necessaria all’allacciamento alla rete esistente;cad;€ 5 760,57;;;;;
;;;;;;;;;
C;1.03.06;Fornitura in opera di quadro elettrico con annessa  scatola stagna, comprensivo di salvamotore, interruttore magnetotermico, comando pompa, pressostato;cad;€ 1 329,37;;;;;
;;;;;;;;;
C;1.03.07;Fornitura in opera di centralina per irrigazione, compresa annessa scatola stagna, collegamento alla rete elettrica, collegamento alle valvole;cad;€ 1 240,73;;;;;
;;;;;;;;;
C;1.03.08;Impianto di irrigazione con irrigatori dinamici in aree a contorno regolare, privo di ostacoli.;mq;€ 3,10;;;;;
;;;;;;;;;
C;1.03.09;Impianto di irrigazione in aree a contorno irregolare e prive di ostacoli, con irrigatori statici e dinamici nel rapporto necessario a dare l’opera compiuta a regola d’arte.;mq;€ 4,43;;;;;
;;;;;;;;;
C;1.03.10;Impianto di irrigazione in aree a contorno regolare, con ostacoli, con irrigatori statici e dinamici nel rapporto necessario a dare l’opera compiuta a regola d’arte.;mq;€ 3,76;;;;;
;;;;;;;;;
C;1.03.11;Impianto di irrigazione con irrigatori statici, in are a contorno irregolare, con ostacoli.;mq;€ 8,86;;;;;
;;;;;;;;;
C;1.03.12;"Fornitura e posa in opera di valvola a sfera di parzializzazione in PVC con bocchettone a tre pezzi, con o-ring; comprese e compensate tutte le spese e quant’altro necessario per dare il lavoro in perfetta efficienza e compiuto a regola d’arte. ";;;;;;;
C;1.03.12.a;Valvola di Parzializzazione PN 16 Diametro ¾ FF PN 16;cad;€ 37,99;;;;;
C;1.03.12.b;"Valvola di Parzializzazione PN 16 Diametro 1"" FF PN 16";cad;€ 41,50;;;;;
C;1.03.12.c;Valvola di Parzializzazione PN 16 Diametro 1 ½ FF PN 16;cad;€ 66,00;;;;;
C;1.03.12.d;"Valvola di Parzializzazione PN 16 Diametro 2"" FF PN 16";cad;€ 94,52;;;;;
C;1.03.12.e;"Valvola di Parzializzazione PN 16 Diametro 3"" FF PN 20";cad;€ 332,37;;;;;
;;;;;;;;;
C;1.03.13;"Fornitura di valvola a sfera di parzializzazione in PVC con bocchettone a tre pezzi, con o-ring; comprese e compensate tutte le spese e quant’altro necessario per dare il lavoro in perfetta efficienza e compiuto a regola d’arte. ";;;;;;;
